comparison.primary;comparison.secondary
дубовый;10.5263157894737;39.0697674418605
печь;18.4210526315789;26.2015503875969
песня;86.8421052631579;33.953488372093
боярин;15.7894736842105;22.9457364341085
сыр;63.1578947368421;34.2635658914729
бояться;44.7368421052632;27.5968992248062
дорога;60.5263157894737;36.4341085271318
кровать;10.5263157894737;30.2325581395349
надо;42.1052631578947;33.1782945736434
жаль;34.2105263157895;24.6511627906977
искать;60.5263157894737;25.8914728682171
дочка;31.5789473684211;26.9767441860465
лента;44.7368421052632;28.062015503876
самый;26.3157894736842;37.2093023255814
цвести;76.3157894736842;26.8217054263566
чесать;2.63157894736842;22.015503875969
детушки;15.7894736842105;21.3953488372093
молоденький;5.26315789473684;37.6744186046512
огонь;89.4736842105263;26.9767441860465
солнце;97.3684210526316;27.7519379844961
царь;28.9473684210526;19.6899224806202
кровь;65.7894736842105;30.077519379845
посмотреть;52.6315789473684;34.5736434108527
бедный;92.1052631578947;26.8217054263566
весна;94.7368421052632;26.5116279069767
подарить;57.8947368421053;26.9767441860465
дело;28.9473684210526;25.1162790697674
доставаться;28.9473684210526;16.5891472868217
молодецкий;89.4736842105263;30.8527131782946
сени;5.26315789473684;32.5581395348837
хозяин;26.3157894736842;15.968992248062
ведь;65.7894736842105;30.5426356589147
воротиться;55.2631578947368;26.046511627907
камень;55.2631578947368;25.7364341085271
маленький;23.6842105263158;40.9302325581395
рученька;7.89473684210526;40
цветочек;71.0526315789474;30.3875968992248
погулять;42.1052631578947;32.093023255814
служить;0;18.2945736434109
чтоб;84.2105263157895;31.4728682170543
громкий;18.4210526315789;26.3565891472868
подходить;7.89473684210526;30.5426356589147
поить;15.7894736842105;29.3023255813954
пташечка;60.5263157894737;25.5813953488372
утро;57.8947368421053;30.5426356589147
бор;73.6842105263158;28.3720930232558
дума;84.2105263157895;21.5503875968992
песенка;84.2105263157895;31.1627906976744
приезжать;10.5263157894737;32.4031007751938
сердечко;63.1578947368421;30.077519379845
травка;47.3684210526316;29.4573643410853
выбирать;39.4736842105263;20.9302325581395
ет;0;30.8527131782946
пан;0;10.5426356589147
великий;34.2105263157895;36.2790697674419
иванушка;0;29.7674418604651
зачем;76.3157894736842;26.9767441860465
правда;39.4736842105263;26.8217054263566
который;31.5789473684211;31.937984496124
об;73.6842105263158;31.3178294573643
житие;63.1578947368421;22.015503875969
поводить;23.6842105263158;23.1007751937985
сударыня;0;23.8759689922481
лето;63.1578947368421;23.1007751937985
перо;7.89473684210526;28.062015503876
письмо;10.5263157894737;21.7054263565891
поглядеть;15.7894736842105;35.1937984496124
прощаться;57.8947368421053;25.2713178294574
теперь;89.4736842105263;29.922480620155
покидать;81.5789473684211;24.3410852713178
чем;68.4210526315789;29.4573643410853
ноженька;15.7894736842105;31.4728682170543
побывать;10.5263157894737;26.3565891472868
сторонка;31.5789473684211;27.2868217054264
волга;52.6315789473684;24.6511627906977
головка;26.3157894736842;33.7984496124031
дуб;39.4736842105263;19.3798449612403
лужок;13.1578947368421;31.937984496124
разум;23.6842105263158;30.2325581395349
плечо;44.7368421052632;33.7984496124031
береза;42.1052631578947;23.7209302325581
хмель;23.6842105263158;11.7829457364341
постоять;31.5789473684211;27.7519379844961
богатый;47.3684210526316;23.2558139534884
венок;23.6842105263158;17.5193798449612
жизнь;100;21.3953488372093
раз;63.1578947368421;30.2325581395349
горевать;68.4210526315789;27.906976744186
молодушка;21.0526315789474;24.9612403100775
но;100;18.6046511627907
песок;21.0526315789474;28.8372093023256
провожать;23.6842105263158;27.7519379844961
хотеться;44.7368421052632;24.6511627906977
ворона;0;23.2558139534884
купец;26.3157894736842;28.062015503876
ровно;26.3157894736842;30.8527131782946
маменька;0;21.2403100775194
оставаться;60.5263157894737;29.3023255813954
полететь;84.2105263157895;26.3565891472868
серебряный;15.7894736842105;31.3178294573643
служба;42.1052631578947;19.6899224806202
шуметь;81.5789473684211;26.3565891472868
женатый;5.26315789473684;26.2015503875969
кудрявый;39.4736842105263;29.1472868217054
течь;52.6315789473684;25.8914728682171
ваш;15.7894736842105;22.1705426356589
везти;5.26315789473684;20.6201550387597
просить;50;28.8372093023256
уходить;28.9473684210526;27.7519379844961
зима;52.6315789473684;23.1007751937985
кабы;0;25.8914728682171
кричать;31.5789473684211;28.9922480620155
садочек;21.0526315789474;27.4418604651163
сосед;5.26315789473684;23.4108527131783
тогда;94.7368421052632;22.6356589147287
подымать;21.0526315789474;21.3953488372093
ребенок;23.6842105263158;25.1162790697674
лишь;94.7368421052632;23.1007751937985
сделать;21.0526315789474;26.9767441860465
тихий;55.2631578947368;20.6201550387597
млада;23.6842105263158;27.4418604651163
али;47.3684210526316;23.4108527131783
журить;5.26315789473684;26.6666666666667
иван;15.7894736842105;24.1860465116279
корабль;34.2105263157895;20.7751937984496
молоду;0;24.6511627906977
подарок;31.5789473684211;15.968992248062
долина;26.3157894736842;25.8914728682171
назад;26.3157894736842;30.6976744186047
ножка;0;31.0077519379845
пташка;81.5789473684211;21.8604651162791
травушка;18.4210526315789;27.2868217054264
ласковый;31.5789473684211;24.6511627906977
мати;0;14.4186046511628
месяц;84.2105263157895;25.7364341085271
платочек;15.7894736842105;26.8217054263566
поставлять;21.0526315789474;26.2015503875969
гусь;0;19.5348837209302
надевать;34.2105263157895;25.2713178294574
светлый;92.1052631578947;27.5968992248062
волюшка;65.7894736842105;24.9612403100775
есть;2.63157894736842;27.906976744186
мальчик;0;26.8217054263566
дон;13.1578947368421;13.953488372093
сходить;7.89473684210526;29.7674418604651
увидеть;76.3157894736842;26.3565891472868
часто;60.5263157894737;25.7364341085271
поклониться;0;23.4108527131783
деревня;23.6842105263158;25.4263565891473
пир;28.9473684210526;17.984496124031
хлеб;28.9473684210526;21.0852713178295
бровь;23.6842105263158;23.8759689922481
лихой;57.8947368421053;18.6046511627907
против;21.0526315789474;23.5658914728682
вороной;23.6842105263158;28.5271317829457
гусли;21.0526315789474;17.6744186046512
мысль;36.8421052631579;21.3953488372093
перед;34.2105263157895;27.7519379844961
селезень;0;11.1627906976744
степь;63.1578947368421;13.3333333333333
немой;65.7894736842105;24.1860465116279
постелюшка;0;26.5116279069767
лен;13.1578947368421;7.44186046511628
собираться;57.8947368421053;29.6124031007752
приказывать;2.63157894736842;28.3720930232558
румяный;5.26315789473684;27.4418604651163
солдатушка;5.26315789473684;18.6046511627907
таков;23.6842105263158;23.7209302325581
плясать;21.0526315789474;22.015503875969
слышать;55.2631578947368;26.5116279069767
холодный;57.8947368421053;28.9922480620155
поцеловать;26.3157894736842;25.4263565891473
пригожий;39.4736842105263;23.1007751937985
прочь;55.2631578947368;24.6511627906977
второй;5.26315789473684;31.6279069767442
дарить;60.5263157894737;23.1007751937985
кафтан;10.5263157894737;21.8604651162791
ключ;26.3157894736842;24.8062015503876
разлучать;28.9473684210526;21.7054263565891
худо;0;26.3565891472868
четвертый;0;26.5116279069767
шельма;0;26.046511627907
желтый;34.2105263157895;27.4418604651163
наживать;28.9473684210526;23.7209302325581
беседа;15.7894736842105;20.9302325581395
казна;42.1052631578947;21.7054263565891
край;73.6842105263158;21.2403100775194
лебедушка;21.0526315789474;21.7054263565891
машенька;21.0526315789474;19.6899224806202
надежа;28.9473684210526;17.984496124031
закричать;0;20.6201550387597
молвить;60.5263157894737;22.6356589147287
живот;0;25.2713178294574
каменный;23.6842105263158;22.4806201550388
подруженька;68.4210526315789;19.2248062015504
сердечушко;60.5263157894737;26.5116279069767
ягода;15.7894736842105;19.5348837209302
волхонский;0;2.63565891472868
глубокий;36.8421052631579;23.4108527131783
злодей;78.9473684210526;20.9302325581395
ну;47.3684210526316;19.6899224806202
слава;36.8421052631579;23.8759689922481
цвет;86.8421052631579;18.4496124031008
девичий;60.5263157894737;22.6356589147287
мелкий;5.26315789473684;27.906976744186
