"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREYEVSKY_1" "KIREYEVSKY_2" "KIREYEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_FULL_1" "SOBOLEVSKY_FULL_2" "SOBOLEVSKY_FULL_3"
"моючи" 0 0.01 0.02 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0
"мудреный" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.02 0.01 0 0 0
"муженек" 0.01 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"мундир" 0 0 0 0 0 0 0 0.01 0 0 0.01 0.02 0 0 0 0 0.01 0
"мучить" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0.01 0 0 0
"мчаться" 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0.01 0 0 0 0
"мясницкий" 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0.01
"навязываться" 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"нагуляться" 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"надолго" 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0.01 0 0.01 0 0.01
"надпись" 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.02 0 0 0
"нажива" 0 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"наказ" 0.01 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0
"наказание" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0
"налагать" 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"налетать" 0 0 0 0 0 0 0.01 0 0 0 0 0 0.02 0 0.02 0 0 0
"нападать" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0
"напилася" 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"напоминать" 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0.02 0 0 0 0
"наряд" 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0.01 0 0 0 0
"наряжать" 0 0 0 0 0.01 0 0.01 0 0 0 0.01 0 0 0.01 0 0.01 0 0
"насмешка" 0 0 0.01 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0.01 0
"находиться" 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0
"небольшой" 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0 0
"небылой" 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.01
"невеличка" 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01 0
"невзгодушка" 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01
"невинный" 0 0 0 0 0 0 0 0 0 0.03 0.01 0.01 0 0 0 0 0 0
"негодный" 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0.01 0.01 0
"недвижимый" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0
"неизменный" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0
"ненавидеть" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0
"ненастье" 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0.01 0.01 0 0 0
"непогожий" 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0
"неровнюшка" 0.02 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"несравненный" 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0 0 0 0
"низовой" 0 0 0 0 0 0 0.01 0.03 0.01 0 0 0 0 0 0 0 0 0
"никуда" 0 0.01 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0
"нить" 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0 0 0
"норовить" 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0
"ночесь" 0.02 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"нужно" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0.01 0.01 0 0
"обесчещивать" 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0.01
"обнималисить" 0 0.01 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"обрада" 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"обуять" 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0.01 0 0 0 0.01 0
"огненный" 0 0 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0.01 0 0 0.01
"огонечек" 0 0 0 0.01 0 0 0.03 0 0.01 0 0 0 0 0 0 0 0 0
"огромный" 0 0 0 0 0 0 0 0 0 0.03 0 0.02 0 0 0 0 0 0
"одинешенек" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0.01
"однажды" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.02 0 0 0 0
"окаянный" 0 0 0 0 0 0 0.01 0.01 0.01 0.02 0 0 0 0 0 0 0 0
"океан" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0
"около" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0.03 0
"олух" 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0.01 0 0 0 0 0 0
"описывать" 0 0 0 0 0 0 0 0.02 0.02 0 0 0.01 0 0 0 0 0 0
"опознавать" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"опостылеть" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.03 0 0.01 0 0 0
"орда" 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0
"оскаливать" 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"осыпать" 0 0.01 0 0 0 0 0 0 0 0.02 0 0 0 0 0.02 0 0 0
"отвертываться" 0.02 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0
"отводить" 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0 0.01 0 0.01
"отлетать" 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.01 0 0 0 0.01 0
"ото" 0 0 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0
"отращивать" 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0
"отчаяние" 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0
"охотник" 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0.01 0 0 0 0
"охотничек" 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"оченно" 0 0.01 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"павлин" 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0
"падать" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.02 0 0 0
"пал" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0.01
"палач" 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"палочка" 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0.01
"пасмурный" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.02 0.01 0 0 0
"пена" 0 0 0 0 0 0 0 0 0 0 0.02 0.03 0 0 0 0 0 0
"пение" 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.01 0 0 0 0 0
"пеня" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0.01 0 0 0 0
"перевивать" 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0
"перевиваться" 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"перевоз" 0 0 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"передо" 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0
"перекладина" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0 0 0.01 0
"перепелочка" 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0
"перси" 0 0 0 0 0 0 0 0 0 0.03 0.01 0.01 0 0 0 0 0 0
"перье" 0.01 0.01 0 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0
"песочек" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0.01 0
"петля" 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0.02
"пивовар" 0.01 0.01 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0
"пламенеть" 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0.01 0 0 0 0 0
"пленный" 0 0 0 0 0 0 0.01 0.02 0 0 0 0.01 0 0 0 0.01 0 0
"плохо" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0.02 0.01
"поводиться" 0.01 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0
"повстречаться" 0 0 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0
"повысушить" 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"повязка" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0.02 0
"погостевать" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"подареньице" 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0
"поддерживать" 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0 0.01 0 0.01
"подколодный" 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0
"подлец" 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"подобно" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0
"подпираться" 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.01
"пожелать" 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0
"поискать" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0.02 0 0
"покатить" 0 0.01 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0
"покор" 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0
"покорность" 0 0 0 0.01 0 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0
"покорный" 0.01 0 0 0.01 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0
"покрой" 0 0.01 0.02 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0
"покуда" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0
"полведра" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0.01
"полдень" 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0.01 0 0 0 0
"ползти" 0.01 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02
"полнота" 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.01 0.01 0 0 0
"полотенце" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0.01
"полтора" 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0.01
"полушечка" 0.01 0.02 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"полюшко" 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0
"померкнуть" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0 0.01 0 0 0
"помыть" 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"понестись" 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0 0
"пономарь" 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0
"попадаться" 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0 0
"поплыть" 0 0 0 0.02 0 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0
"поплясушка" 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0
"портрет" 0 0 0 0 0 0 0 0 0.01 0.02 0 0.02 0 0 0 0 0 0
"поскакивать" 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"постоянно" 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0
"пострел" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0
"поступка" 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0.01
"посудить" 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0 0 0 0 0
"посушить" 0.02 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"потомок" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0
"похабный" 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"похищать" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0
"праздник" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0.01 0.01 0
"прельщаться" 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0.01 0.01 0 0 0 0
"преступление" 0 0 0 0 0 0 0 0 0 0.01 0.03 0.01 0 0 0 0 0 0
"прибивать" 0 0 0 0.01 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01
"приветный" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0
"приглянуться" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.02 0 0 0
"приговор" 0.01 0.01 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0 0
"приголубливать" 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.02 0 0 0
"пригонять" 0 0.01 0 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0
"прием" 0 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0.02
"признаваться" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0.01 0 0 0
"приискивать" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0 0 0.01 0
"пример" 0 0 0 0 0 0 0 0 0.01 0 0.02 0.01 0.01 0 0 0 0 0
"притаиться" 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0.01 0.01 0 0 0
"приукатывать" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0.01
"проехать" 0 0 0 0 0.01 0.02 0 0 0 0.01 0 0 0 0 0 0.01 0 0
"прокатиться" 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0.01 0.02 0 0 0
"пролетать" 0 0 0 0 0.01 0 0 0 0 0.01 0 0.02 0.01 0 0 0 0 0
"прослывать" 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0
"проснулася" 0.01 0.01 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"простилася" 0 0.02 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"проститися" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"противный" 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0.02 0 0 0 0 0 0
"прошептать" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0.02 0 0 0
"пучочек" 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0
"пушок" 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"пшено" 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"пышно" 0 0 0 0 0 0 0.01 0 0.01 0 0.02 0 0 0 0 0.01 0 0
"пятнадцать" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.02
"разбирать" 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0 0.01 0.01 0 0
"разбраниться" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0 0 0 0.01
"развивать" 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0.01
"разделять" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0
"раздольице" 0 0.02 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"размахнуть" 0 0.01 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0
"раскаиваться" 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0
"расплетаться" 0 0.01 0 0 0.01 0 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0
"распрощаться" 0 0 0 0 0.02 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0
"распускать" 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01
"рассвет" 0 0 0 0 0 0 0 0.01 0 0 0.03 0 0 0.01 0 0 0 0
"рассукин" 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"растрепывать" 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0 0.01 0.01 0
"расчет" 0 0 0 0.02 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0 0
"расшибаться" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0
"ревность" 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0
"редко" 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0
"ресница" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0.01 0 0 0
"робкий" 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0.02 0 0 0
"родиться" 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0.01 0 0 0 0.01 0
"рожа" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.02 0 0 0 0 0 0
"рождение" 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0 0.01 0 0 0 0
"роковой" 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0.02 0 0 0
"ронит" 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0
"руда" 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01
"рыскать" 0 0 0 0 0 0 0 0 0 0.03 0 0 0.01 0 0.01 0 0 0
"рыть" 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0.01 0.01
"рюмочка" 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"рябой" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02
"сан" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0
"саратовский" 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"сарафанчик" 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01
"свершать" 0 0 0 0 0 0 0 0 0 0.04 0 0.01 0 0 0 0 0 0
"свыше" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.03 0 0 0 0 0 0
"сегодняшний" 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.02
"седина" 0 0 0 0 0.01 0 0 0 0 0 0.02 0 0.01 0 0.01 0 0 0
"сенокос" 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0
"сердечно" 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"складывать" 0.01 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"скликать" 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0.01 0.01 0 0 0 0
"скользить" 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.01 0 0.01 0 0 0
"сламывать" 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0.01 0 0
"следить" 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0
"следочек" 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.01
"слетаться" 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0
"слишком" 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0
"случайно" 0 0 0 0 0 0 0 0 0 0.03 0.01 0.01 0 0 0 0 0 0
"случиться" 0 0 0 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0
"слыхом" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0
"слышно" 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0
"смиренный" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0.01 0 0
"смочь" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0
"снежный" 0 0 0 0 0 0 0 0 0 0.03 0.02 0 0 0 0 0 0 0
"сниться" 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0 0 0 0
"собачка" 0.02 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"содержать" 0 0.01 0 0 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"созывать" 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0.01 0 0
"соколичка" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"соколочек" 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0
"солгать" 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"соловьев" 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"сосенушка" 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"спаситель" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.03 0 0 0 0 0 0
"спокидать" 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0
"спокойно" 0 0 0 0 0 0.01 0 0 0 0.02 0 0.02 0 0 0 0 0 0
"спроситься" 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01
"сражать" 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0 0.01 0 0 0 0
"срезать" 0.01 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0
"срывать" 0 0 0 0 0 0.01 0 0 0.01 0 0 0.01 0.01 0.01 0 0 0 0
"станавливать" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"становилася" 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"становить" 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01
"стежок" 0 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0
"степан" 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"стеречь" 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0.01 0 0.01 0 0
"стерпеть" 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0
"столица" 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0 0.01 0 0.01
"стошниться" 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"стройный" 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0 0 0
"стужа" 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0
"стул" 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0.02 0.01 0
"стыдить" 0.01 0.02 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"су" 0.01 0 0.01 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"сумочка" 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"суша" 0 0 0.01 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0
"счастливо" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.02 0 0 0 0
"съездить" 0 0.01 0.02 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"съезжать" 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"сыскиваться" 0 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0 0 0
"сыта" 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0.02 0 0
"сюд" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0.03
"сяк" 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.02
"таить" 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0.01 0.01 0 0 0
"тальянский" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0.01
"таня" 0 0 0 0.02 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0
"твердь" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0.01 0 0 0
"телега" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.02 0 0.01 0 0
"теплиться" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0 0
"терзать" 0 0 0 0 0 0 0.02 0.01 0 0.01 0 0 0 0.01 0 0 0 0
"тетка" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0.02 0
"тиранка" 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0
"тишь" 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0.01 0 0 0
"томиться" 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0 0 0
"тон" 0.01 0 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0
"торговый" 0.01 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0.02 0 0
