"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREYEVSKY_1" "KIREYEVSKY_2" "KIREYEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_FULL_1" "SOBOLEVSKY_FULL_2" "SOBOLEVSKY_FULL_3"
"улица" 0.16 0.13 0.08 0.14 0.08 0.13 0.14 0.14 0.14 0.02 0 0.01 0.03 0.03 0.02 0.2 0.1 0.11
"око" 0.09 0.07 0.08 0.03 0.05 0.02 0.06 0.06 0.07 0.16 0.19 0.08 0.19 0.17 0.19 0.04 0.04 0.06
"терем" 0.15 0.12 0.14 0.09 0.07 0.09 0.16 0.12 0.11 0.01 0.01 0.01 0.1 0.08 0.06 0.08 0.13 0.12
"б" 0.15 0.14 0.13 0.06 0.1 0.11 0.07 0.1 0.08 0.08 0.06 0.11 0.13 0.1 0.07 0 0.06 0.09
"ветер" 0.14 0.08 0.11 0.03 0.08 0.08 0.12 0.06 0.06 0.08 0.04 0.05 0.23 0.19 0.21 0.03 0.04 0.01
"горький" 0.15 0.15 0.15 0.13 0.11 0.07 0.06 0.05 0.03 0.02 0.04 0.01 0.16 0.15 0.25 0.05 0.05 0.01
"мочь" 0.05 0.03 0.05 0.07 0.01 0.07 0.07 0.1 0.08 0.15 0.21 0.23 0.16 0.12 0.1 0.03 0.06 0.04
"приходить" 0.12 0.06 0.12 0.12 0.14 0.16 0.11 0.07 0.07 0.05 0.07 0.03 0.03 0.04 0.05 0.13 0.12 0.14
"видеть" 0.05 0.06 0.07 0.13 0.04 0.09 0.08 0.09 0.09 0.19 0.14 0.09 0.09 0.1 0.13 0.07 0.06 0.05
"лицо" 0.11 0.1 0.09 0.09 0.12 0.1 0.13 0.11 0.15 0.08 0.05 0.04 0.08 0.1 0.04 0.09 0.07 0.06
"над" 0.04 0.05 0.03 0.05 0.09 0.02 0.06 0.04 0.03 0.18 0.22 0.22 0.17 0.16 0.16 0.02 0.04 0.02
"новый" 0.12 0.09 0.11 0.11 0.16 0.09 0.06 0.04 0.05 0.05 0.06 0.05 0.02 0.02 0.03 0.17 0.17 0.19
"глаз" 0.06 0.07 0.06 0.04 0.05 0.09 0.09 0.13 0.14 0.1 0.11 0.09 0.1 0.09 0.06 0.16 0.1 0.04
"миленький" 0.09 0.08 0.07 0.18 0.18 0.2 0.09 0.08 0.06 0 0.01 0 0.04 0.04 0.02 0.09 0.2 0.14
"ох" 0.32 0.3 0.28 0.07 0.11 0.13 0.01 0 0 0.01 0 0.01 0 0.01 0.01 0.08 0.1 0.13
"это" 0.11 0.08 0.13 0.14 0.06 0.04 0.03 0.06 0.07 0.16 0.06 0.14 0.08 0.09 0.11 0.07 0.08 0.04
