Name;Title;Publication;Year;G_title;Comment;Meter;Regularity;Rhyme;Type;path
Заангарский Сибиряк;Разломайся грудь;СО, 1837. Ч. 184. С. 141-143;1837;Песнь страдальца;Иркутск;Пс;unreg (cбой);unrhymed;core;corpus_split//132_sibiryak_1837_utf8.txt
Загоскин;О гой ты Днепр ты широкий Днепр;NA;1833;NA;из Аскольдовой могилы (роман);Х4жм;unreg;unrhymed;core;corpus_split//133_zagoskin_1833_utf8.txt
Загоскин;Гой ты Днепр ли мой широкий;NA;1835;NA;из Аскольдовой могилы (опера);Х4жм;reg;rhymed;core;corpus_split//134_zagoskin_1835_utf8.txt
Загоскин;Ах подруженьки как грустно;NA;1835;NA;из Аскольдовой могилы (опера);Х4жмд;unreg;unrhymed;core;corpus_split//135_zagoskin_1835_utf8.txt
Загоскин;Уж как веет, веет ветерок;NA;1835;NA;из Аскольдовой могилы (опера);Х5,4,3;unreg;unrhymed;core;corpus_split//136_zagoskin_1835_utf8.txt
Зотов, В.Р.;Как пойду ль сидеть;NA;1841;Русская песня;NA;Пс;reg;occ;core;corpus_split//137_zotov_1841_utf8.txt
Ибрагимов, Л.Н.;Ты душа ль моя красна девица;Ибрагимов, Л.Н. Стихотворения Льва Ибрагимова. Казань, 1841. С. 54-55 / БдЧ. 1839. Т.33. С. 14-15.;1839;Русские песни;NA;Пс2;reg;unrhymed;core;corpus_split//138_ibragimov_1839_utf8.txt
Ибрагимов, Л.Н.;Ах ты помнишь ли;Ибрагимов, Л.Н. Стихотворения Льва Ибрагимова. Казань, 1841. С. 56-57;1841;Русские песни;NA;Пс;reg;unrhymed;core;corpus_split//139_ibragimov_1841_utf8.txt
Ибрагимов, Н.М.;Вечерком красна девица;NA;1815;Русская песня (подражание польской);NA;Х4жм + Х34м (рефрен);reg;rhymed;core;corpus_split//141_ibragimov_1815_utf8.txt
Ибрагимов, Н.М.;Во поле березанька стояла;Благонамеренный, 1825. № 19. С. 203-204;1825;Русская песня;NA;Х5ж;unreg;rhymed;core;corpus_split//142_ibragimov_1825_utf8.txt
Ивалс, Н.;Ах ты, батюшка, наш кабачек;Литературный кабинет. М., 1842 Ч. 2. С. 68;1842;Волжская песня;NA;Пс2;unreg;occ;core;corpus_split//143_protopopov_1842_utf8.txt
